11-05-2025 15:14:43 RAM 16758/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1728,0%@729,0%@729,6%@729,3%@1295,0%@1574,0%@1574,1%@1574,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.093C soc2@41.812C soc0@42.343C gpu@41.406C tj@45.093C soc1@41.906C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2813mW/2813mW
11-05-2025 15:14:44 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,4%@729,0%@729,3%@729,3%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.937C soc2@41.718C soc0@42.406C gpu@41.406C tj@44.937C soc1@41.718C VDD_GPU_SOC 1999mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2663mW
11-05-2025 15:14:45 RAM 16757/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.093C soc2@41.843C soc0@42.406C gpu@41.406C tj@45.093C soc1@41.75C VDD_GPU_SOC 1999mW/2132mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2579mW
11-05-2025 15:14:46 RAM 16757/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.843C soc2@41.75C soc0@42.343C gpu@41.406C tj@44.843C soc1@41.75C VDD_GPU_SOC 1999mW/2099mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2537mW
11-05-2025 15:14:47 RAM 16757/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45C soc2@41.75C soc0@42.406C gpu@41.406C tj@45C soc1@41.75C VDD_GPU_SOC 1999mW/2079mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
11-05-2025 15:14:48 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,6%@729,0%@1420,1%@1651,0%@1651,4%@1651,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.25C soc2@41.843C soc0@42.406C gpu@41.406C tj@45.25C soc1@41.781C VDD_GPU_SOC 1999mW/2066mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2528mW
11-05-2025 15:14:49 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,3%@729,2%@729,6%@729,1%@729,1%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.718C soc2@41.75C soc0@42.281C gpu@41.406C tj@44.718C soc1@41.843C VDD_GPU_SOC 1999mW/2056mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
11-05-2025 15:14:50 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.781C soc2@41.812C soc0@42.281C gpu@41.406C tj@44.781C soc1@41.75C VDD_GPU_SOC 1999mW/2049mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2499mW
11-05-2025 15:14:51 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.812C soc2@41.843C soc0@42.312C gpu@41.406C tj@44.812C soc1@41.75C VDD_GPU_SOC 1998mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2489mW
11-05-2025 15:14:52 RAM 16756/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,10%@729,0%@1594,26%@1728,1%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 26%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.437C soc2@41.843C soc0@42.406C gpu@41.375C tj@45.437C soc1@41.718C VDD_GPU_SOC 3198mW/2159mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 3014mW/2542mW
11-05-2025 15:14:53 RAM 16758/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,1%@729,6%@729,5%@729,61%@1728,33%@1728,0%@1728,1%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 28%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.343C soc2@41.875C soc0@42.437C gpu@41.343C tj@45.343C soc1@41.687C VDD_GPU_SOC 3198mW/2253mW VDD_CPU_CV 1199mW/472mW VIN_SYS_5V0 3421mW/2622mW
11-05-2025 15:14:54 RAM 16759/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@729,1%@729,4%@729,46%@1728,50%@1728,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 29%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.187C soc2@41.843C soc0@42.343C gpu@41.625C tj@45.187C soc1@41.687C VDD_GPU_SOC 3198mW/2332mW VDD_CPU_CV 1199mW/532mW VIN_SYS_5V0 3321mW/2680mW
11-05-2025 15:14:55 RAM 16759/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@729,0%@729,0%@729,26%@1728,67%@1728,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 29%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.468C soc2@41.843C soc0@42.375C gpu@41.593C tj@45.531C soc1@41.781C VDD_GPU_SOC 3198mW/2399mW VDD_CPU_CV 1199mW/584mW VIN_SYS_5V0 3321mW/2729mW
11-05-2025 15:14:56 RAM 16759/62841MB (lfb 82x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,30%@1728,61%@1728,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 29%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.437C soc2@41.875C soc0@42.312C gpu@41.406C tj@45.437C soc1@41.843C VDD_GPU_SOC 3198mW/2456mW VDD_CPU_CV 1199mW/628mW VIN_SYS_5V0 3321mW/2772mW
