10-22-2025 15:52:19 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,1%@1651,4%@1651,2%@1651,1%@729,0%@729,0%@729,5%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.312C soc0@40.812C gpu@39.656C tj@43.625C soc1@40.187C VDD_GPU_SOC 2398mW/2398mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2813mW/2813mW
10-22-2025 15:52:20 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,2%@729,2%@729,3%@729,3%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.343C soc2@40.187C soc0@40.875C gpu@39.656C tj@43.343C soc1@40.156C VDD_GPU_SOC 1998mW/2198mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2663mW
10-22-2025 15:52:21 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40.125C soc0@40.937C gpu@39.656C tj@43.156C soc1@40.25C VDD_GPU_SOC 1998mW/2131mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2579mW
10-22-2025 15:52:22 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,1%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.281C soc2@40.187C soc0@40.812C gpu@39.656C tj@43.281C soc1@40.312C VDD_GPU_SOC 1998mW/2098mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2537mW
10-22-2025 15:52:23 RAM 14676/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.187C soc2@40.156C soc0@40.75C gpu@39.656C tj@43.343C soc1@40.125C VDD_GPU_SOC 1998mW/2078mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-22-2025 15:52:24 RAM 14678/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1267,0%@1497,2%@1497,1%@1497,4%@729,4%@729,2%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.656C soc2@40.218C soc0@40.906C gpu@39.656C tj@43.656C soc1@40.156C VDD_GPU_SOC 1998mW/2065mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2528mW
10-22-2025 15:52:25 RAM 14678/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,4%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40.156C soc0@40.812C gpu@39.656C tj@43.281C soc1@40.25C VDD_GPU_SOC 1998mW/2055mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-22-2025 15:52:26 RAM 14678/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40.156C soc0@40.843C gpu@39.656C tj@43.156C soc1@40.312C VDD_GPU_SOC 1998mW/2048mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2499mW
10-22-2025 15:52:27 RAM 14678/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.156C soc2@40.156C soc0@40.781C gpu@39.656C tj@43.156C soc1@40.093C VDD_GPU_SOC 1998mW/2042mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2489mW
10-22-2025 15:52:28 RAM 14681/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,0%@729,0%@729,8%@729,9%@1728,9%@1728,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 33%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.406C soc2@40.187C soc0@40.781C gpu@39.875C tj@43.406C soc1@40.093C VDD_GPU_SOC 3197mW/2158mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2913mW/2532mW
10-22-2025 15:52:29 RAM 14683/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@1420,4%@1420,5%@1420,1%@1420,34%@1728,59%@1728,0%@1728,0%@1728,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.218C soc0@40.75C gpu@39.843C tj@43.812C soc1@40.281C VDD_GPU_SOC 2797mW/2216mW VDD_CPU_CV 1199mW/472mW VIN_SYS_5V0 3321mW/2603mW
